Common gene name,No_drug,CHL_1ug/mL,CPR_4ng/mL,MEC_38ng/mL,NIT_2ug/mL,TET_150ng/mL,TMP_80ng/mL,FOX_1.90ug/mL,AMP_3.14ug/mL,PrtoSTOP
ygbT,0.88,0.53,0.59,0.63,0.64,0.61,0.63,0.38,0.42,12.68
ygcB,0.87,0.55,0.55,0.68,0.69,0.64,0.66,0.44,0.55,43.7
ygcE,0.95,0.52,0.7,0.46,0.71,0.62,0.65,0.36,0.38,21.72
ygcF,0.84,0.59,0.7,0.8,0.66,0.59,0.63,0.67,0.79,0
ygcG,0.98,0.56,0.65,0.58,0.69,0.65,0.69,0.4,0.51,13.14
ygcH,0.89,0.56,0.57,0.67,0.69,0.6,0.67,0.35,0.51,0
ygcI,0.98,0.61,0.76,0.87,0.71,0.73,0.66,0.93,0.88,0
ygcJ,0.94,0.62,0.65,0.84,0.73,0.65,0.63,0.39,0.5,0
ygcK,1.01,0.67,0.8,0.91,0.73,0.73,0.62,0.95,0.94,0
ygcL,0.95,0.66,0.81,0.92,0.72,0.71,0.68,0.86,0.92,0
ygcM,0.93,0.48,0.67,0.5,0.65,0.6,0.69,0.34,0.45,0
ygcN,0.92,0.66,0.78,0.88,0.71,0.73,0.64,0.79,0.92,19.44
ygcO,0.81,0.27,0.42,0.29,0.4,0.46,0.64,0.06,0.09,4.27
ygcP,0.9,0.54,0.53,0.54,0.62,0.6,0.64,0.13,0.36,7.77
ygcQ,1,0.59,0.7,0.49,0.72,0.68,0.66,0.22,0.41,11.19
ygcR,0.93,0.43,0.56,0.22,0.65,0.56,0.67,0.03,0.22,12.14
ygcS,0.96,0.52,0.67,0.59,0.68,0.61,0.63,0.32,0.43,17.95
ygcU,0.93,0.59,0.69,0.75,0.68,0.65,0.61,0.74,0.83,21.12
ygcW,0.94,0.52,0.72,0.73,0.68,0.62,0.64,0.43,0.45,10.91
ygdB,1,0.64,0.75,0.87,0.72,0.72,0.66,0.69,0.9,7.14
ygdD,0.83,0.58,0.68,0.89,0.66,0.66,0.64,0.59,0.16,5.68
ygdE,0.9,0.65,0.69,0.65,0.71,0.68,0.68,0.4,0.6,0
ygdH,0.88,0.56,0.67,0.63,0.69,0.59,0.68,0.35,0.38,0
ygdI,0.98,0.54,0.66,0.58,0.7,0.61,0.63,0.17,0.46,3.17
ygdK,0.93,0.64,0.71,0.94,0.73,0.69,0.64,0.47,0.78,0
ygdL,0.95,0.6,0.68,0.52,0.68,0.62,0.64,0.35,0.43,0
ygdQ,0.91,0.51,0.5,0.66,0.68,0.59,0.67,0.27,0.41,8.52
ygdR,0.93,0.61,0.62,0.58,0.66,0.63,0.63,0.43,0.5,2.89
ygeA,0.89,0.58,0.63,0.69,0.68,0.67,0.67,0.38,0.55,10.49
ygeD,0.84,0.55,0.66,0.76,0.71,0.65,0.63,0.59,0.45,0
ygeF,0.86,0.48,0.49,0.31,0.63,0.55,0.61,0.31,0.21,6.68
ygeG,0.94,0.61,0.69,0.92,0.72,0.65,0.59,0.51,0.36,9.74
ygeH,0.98,0.73,0.71,0.85,0.67,0.74,0.6,0.51,0.42,23.33
ygeI,0.96,0.46,0.55,0.38,0.65,0.57,0.62,0.18,0.19,3.11
ygeK,0.97,0.47,0.55,0.41,0.66,0.57,0.66,0.26,0.34,7.06
ygeL,0.87,0.61,0.71,0.77,0.65,0.67,0.66,0.56,0.58,0
ygeM,0.94,0.54,0.63,0.62,0.68,0.62,0.65,0.01,0.65,0
ygeN,0.88,0.3,0.3,0.41,0.42,0.49,0.64,0,0.01,11.5
ygeO,0.96,0.66,0.77,0.99,0.72,0.69,0.72,0.81,0.98,6.9
ygeP,0.94,0.51,0.65,0.52,0.67,0.62,0.67,0.08,0.27,5.32
ygeQ,0.97,0.56,0.67,0.72,0.69,0.65,0.58,0.2,0.38,13.49
ygeR,0.84,0.52,0.5,0.72,0.66,0.62,0.64,0.35,0.45,12.55
ygeV,0.98,0.64,0.69,0.61,0.71,0.72,0.63,0.55,0.61,25.28
ygeW,0.97,0.69,0.69,0.68,0.7,0.75,0.65,0.36,0.72,19.86
ygeX,0.92,0.68,0.73,0.87,0.71,0.69,0.68,0.53,0.58,17.81
ygeY,0.73,0.55,0.69,0.57,0.62,0.7,0.68,0.27,0.38,19.49
ygfA,0.91,0.66,0.5,0.39,0.58,0.7,0.54,0.25,0.38,9.16
ygfB,0.93,0.62,0.67,0.64,0.68,0.73,0.64,0,0.66,8.59
ygfF,0.86,0.66,0.79,0.92,0.71,0.67,0.66,0.74,0.85,10.18
ygfG,1.01,0.66,0.75,0.79,0.74,0.67,0.6,0.3,0.18,0
ygfH,0.85,0.63,0.71,0.73,0.69,0.68,0.65,0.47,0.58,0
ygfI,0.92,0.63,0.71,0.7,0.68,0.71,0.63,0.28,0.43,13.45
ygfJ,0.92,0.51,0.6,0.49,0.68,0.64,0.63,0.44,0.43,0
ygfK,0.97,0.53,0.67,0.59,0.7,0.65,0.65,0.17,0.56,47.54
ygfM,0.94,0.55,0.66,0.74,0.66,0.62,0.63,0.67,0.75,11.67
ygfO,0.95,0.55,0.66,0.61,0.69,0.63,0.69,0.66,0.67,0
ygfQ,0.91,0.58,0.68,0.66,0.7,0.71,0.69,0.43,0.55,0
ygfS,0.79,0.56,0.58,0.27,0.54,0.69,0.64,0.28,0.27,7.46
ygfT,0.98,0.57,0.68,0.59,0.68,0.67,0.65,0.37,0.53,26.83
ygfU,0.99,0.66,0.74,0.87,0.69,0.77,0.64,0,0.91,0
ygfX,0.96,0.67,0.55,0.56,0.74,0.68,0.69,0.38,0.43,7.46
ygfY,0.86,0.59,0.16,0.13,0.4,0.58,0.65,0.1,0,0
ygfZ,0.43,0.3,0.42,0.32,0,0.49,0.38,0.45,0.07,14.62
yggC,0.85,0.59,0.49,0.44,0.59,0.64,0.63,0.4,0.46,11.33
yggD,0.87,0.5,0.58,0.52,0.66,0.62,0.62,0.2,0.31,0
yggE,0.91,0.62,0.51,0.5,0.53,0.67,0.62,0.38,0.25,10.29
yggF,0.87,0.42,0.4,0.42,0.63,0.52,0.63,0.23,0.21,12.53
yggG,0.86,0.56,0.62,0.72,0.66,0.61,0.66,0.56,0.66,0
yggH,0.88,0.6,0.63,0.68,0.66,0.67,0.63,0.55,0.62,0
yggJ,0.99,0.63,0.71,0.86,0.64,0.68,0.65,0.4,0.8,0
yggL,0.93,0.54,0.59,0.55,0.67,0.66,0.66,0.28,0.51,6.03
yggM,0.94,0.6,0.66,0.63,0.7,0.63,0.65,0.37,0.39,18.7
yggN,0.97,0.55,0.75,0.65,0.67,0.69,0.67,0.57,0.54,11.76
yggP,0.91,0.56,0.73,0.66,0.69,0.68,0.67,0.65,0.77,18.49
yggR,0.92,0.52,0.66,0.43,0.66,0.6,0.65,0.37,0.53,14.61
yggS,0.97,0.58,0.63,0.18,0.67,0.64,0.64,0.47,0.28,9.51
yggT,0.96,0.64,0.65,0.57,0.63,0.71,0.64,0.31,0.5,7.72
yggU,0.88,0.51,0.62,0.64,0.67,0.63,0.67,0.17,0.47,3.58
yggV,0.9,0.59,0.4,0.61,0.61,0.61,0.63,0.34,0.36,0
yggW,0.87,0.51,0.7,0.62,0.71,0.59,0.69,0.37,0.43,0
yggX,0.82,0.38,0.43,0.56,0.64,0.51,0.69,0.32,0.11,5.55
yghA,0.88,0.45,0.56,0.28,0.66,0.6,0.64,0.07,0.29,14.27
yghB,0.96,0.55,0.48,0.56,0.59,0.64,0.66,0.57,0.43,8.96
yghD,0.93,0.57,0.55,0.69,0.69,0.59,0.63,0.34,0.41,8.37
yghE,0.95,0.59,0.71,0.71,0.67,0.66,0.63,0.54,0.73,13.67
yghF,0.93,0.6,0.68,0.72,0.67,0.72,0.64,0.16,0.76,15.19
yghG,0.9,0.61,0.55,0.58,0.61,0.66,0.65,0.3,0.29,6.74
yghJ,1,0.56,0.67,0.61,0.74,0.69,0.61,0.69,0.5,73.78
yghK,0.87,0.56,0.75,0.93,0.67,0.69,0.58,0.77,0.87,0
yghO,0.94,0.5,0.54,0.58,0.66,0.64,0.61,0.05,0.38,17.79
yghQ,0.93,0.58,0.66,0.61,0.65,0.68,0.65,0,0.73,14.76
yghR,0.89,0.62,0.63,0.75,0.74,0.68,0.64,0.37,0.34,12.92
yghS,0.91,0.61,0.73,0.75,0.67,0.66,0.63,0.2,0.81,11.19
yghT,0.88,0.59,0.64,0.75,0.68,0.64,0.62,0.63,0.39,9.44
yghU,0.97,0.63,0.74,0.76,0.75,0.74,0.68,0.2,0.7,13.62
yghW,0.84,0.59,0.6,0.77,0.71,0.65,0.63,0.38,0.33,4.53
yghX,0.91,0.49,0.57,0.51,0.67,0.62,0.65,0.39,0.62,5.14
yghY,0.88,0.46,0.55,0.41,0.65,0.59,0.63,0.2,0.75,0
yghZ,0.86,0.62,0.72,0.84,0.68,0.63,0.63,0.78,0.88,0
ygiB,0.93,0.53,0.68,0.47,0.69,0.65,0.64,0.18,0.54,10.58
ygiC,0.9,0.67,0.77,0.88,0.69,0.69,0.63,0.72,0.86,21.24
